SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE,HAS_PYRADINONE
O=C1CCN(c2cccc(F)n2)CC1,1.39,0,3,1,33.2,25,50.649,True,False,False,False,194.209,False,False,"InChI=1S/C10H11FN2O/c11-9-2-1-3-10(12-9)13-6-4-8(14)5-7-13/h1-3H,4-7H2",VDABBWFIBCXQRU-UHFFFAOYSA-N,1486289,"['Sigma-Aldrich', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?HE-8069,https://www.sigmaaldrich.com/catalog/product/aldrich/cds014819?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,VDABBWFIBCXQRU-UHFFFAOYSA-N,-41.68646867,6963.925513,162382.2155,127.508759,3.352,3.175711708,0.507471729,0.052172099,0.002266603,0.01489583,-0.022852544,-0.3746502,-0.2579449,0.1644,3.54,False,True
O=C1CCN(Cc2cccnc2)CC1,1.2465,0,3,2,33.2,28,53.755,True,False,False,False,190.246,False,False,"InChI=1S/C11H14N2O/c14-11-3-6-13(7-4-11)9-10-2-1-5-12-8-10/h1-2,5,8H,3-4,6-7,9H2",OTULPMPRCARKLQ-UHFFFAOYSA-N,6421624,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HB-0119,NONE,NONE,NONE,NONE,NONE,OTULPMPRCARKLQ-UHFFFAOYSA-N,-40.5953399,8165.546481,188380.8183,138.913139,2.638,3.114352143,0.559604659,0.038181106,0.005599115,0.026646697,-0.026226051,-0.3657494,-0.2512991,0.2268,2.69,False,True
O=C1CCN(c2ccncc2)CC1,1.2509,0,3,1,33.2,25,50.691,True,False,False,False,176.219,False,False,"InChI=1S/C10H12N2O/c13-10-3-7-12(8-4-10)9-1-5-11-6-2-9/h1-2,5-6H,3-4,7-8H2",MAXMUBIIZUKOJF-UHFFFAOYSA-N,11332793,"['Sigma-Aldrich', 'Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QA-8796,https://www.sigmaaldrich.com/catalog/product/aldrich/cds012798?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/126832-81-3.html,MAXMUBIIZUKOJF-UHFFFAOYSA-N,-37.44666877,6798.582522,158246.0752,127.144041,1.392,3.083593198,0.515087792,0.037807357,0.006221246,0.02135437,-0.022974935,-0.3705634,-0.2572434,0.1819,1.626,False,True
O=C(O)Cn1ccc(=O)c([N+](=O)[O-])c1,-0.1589,1,6,3,102.44,20,44.9922,True,False,False,False,198.134,False,False,"InChI=1S/C7H6N2O5/c10-6-1-2-8(4-7(11)12)3-5(6)9(13)14/h1-3H,4H2,(H,11,12)",ADWAAXYMXLDLFQ-UHFFFAOYSA-N,21320067,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/56187-56-5.html,ADWAAXYMXLDLFQ-UHFFFAOYSA-N,-44.12864,5447.174696,127344.6937,111.764244,10.292,2.338964073,0.405163153,0.12594599,0.00547291,-0.001377897,-0.018128312,-0.405104,-0.3191487,0.3603,11.59,False,True
Cc1cc(=O)cc(C)n1C,1.00214,0,2,3,22.0,21,41.157,True,False,False,False,137.182,False,False,"InChI=1S/C8H11NO/c1-6-4-8(10)5-7(2)9(6)3/h4-5H,1-3H3",KXVUMEAPZKTOCS-UHFFFAOYSA-N,292248,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/s11003,NONE,NONE,NONE,NONE,KXVUMEAPZKTOCS-UHFFFAOYSA-N,-29.72989678,4378.053304,100666.7256,102.296298,8.11,3.266597687,0.428479608,0.044235843,0.004053314,0.012057509,-0.017131737,-0.351754,-0.2317088,0.132,8.461,False,True
N[C@@H](Cn1ccc(=O)c(O)c1)C(=O)O,-1.0342,3,6,5,105.55,24,47.978,True,False,False,False,198.178,False,False,"InChI=1S/C8H10N2O4/c9-5(8(13)14)3-10-2-1-6(11)7(12)4-10/h1-2,4-5,12H,3,9H2,(H,13,14)/t5-/m0/s1",WZNJWVWKTVETCG-YFKPBYRVSA-N,440473,"['Sigma-Aldrich', 'Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QH-0128,https://www.sigmaaldrich.com/catalog/product/sigma/m0253?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/500-44-7.html,WZNJWVWKTVETCG-YFKPBYRVSA-N,-44.34265661,6489.568817,149252.1817,122.579152,5.996,3.098967377,0.475418383,0.112062845,0.001094489,0.008194092,-0.02113791,-0.3736501,-0.2597651,0.193,5.76,False,True
O=C(O)c1c[nH]c2c(c1=O)CCCC2,0.9519,2,3,1,70.16,25,50.664,True,False,False,False,193.202,False,False,"InChI=1S/C10H11NO3/c12-9-6-3-1-2-4-8(6)11-5-7(9)10(13)14/h5H,1-4H2,(H,11,12)(H,13,14)",XXPUUIQPWKBEJW-UHFFFAOYSA-N,12291454,"['Combi-Blocks', 'Ambeed', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?HB-0472,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/58781-08-1.html,XXPUUIQPWKBEJW-UHFFFAOYSA-N,-42.17336907,6933.874538,162288.9478,126.841227,8.696,2.703234139,0.506619542,0.087142134,0.003988828,0.008089116,-0.023561412,-0.3690166,-0.2696745,0.2312,9.091,False,True
O=C1CCN(Cc2ccncc2)CC1,1.2465,0,3,2,33.2,28,53.755,True,False,False,False,190.246,False,False,"InChI=1S/C11H14N2O/c14-11-3-7-13(8-4-11)9-10-1-5-12-6-2-10/h1-2,5-6H,3-4,7-9H2",HGXOGFPPULJEEV-UHFFFAOYSA-N,10997815,"['Ambeed', 'Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?OR-6650,https://www.sigmaaldrich.com/catalog/product/aldrich/cds004246?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/126832-82-4.html,HGXOGFPPULJEEV-UHFFFAOYSA-N,-40.6011862,8162.558501,188328.623,138.882404,2.774,3.234002413,0.562103166,0.0382707,0.005088137,0.026018122,-0.027338389,-0.3730351,-0.2541877,0.2023,2.747,False,True
O=C1CCN(Cc2ccccn2)CC1,1.2465,0,3,2,33.2,28,53.755,True,False,False,False,190.246,False,False,"InChI=1S/C11H14N2O/c14-11-4-7-13(8-5-11)9-10-3-1-2-6-12-10/h1-3,6H,4-5,7-9H2",LQHWXULWFQQUDQ-UHFFFAOYSA-N,11229258,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?OR-6599,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/41661-56-7.html,LQHWXULWFQQUDQ-UHFFFAOYSA-N,-40.59702052,8156.14981,188294.0464,138.822108,3.88,3.03999442,0.56867887,0.03928442,0.004861968,0.026682853,-0.025477967,-0.3613899,-0.2496721,0.2297,3.749,False,True
Cc1ccnc2c1C(=O)CCN2,1.38832,1,3,1,41.99,22,46.4112,True,False,False,False,162.192,False,False,"InChI=1S/C9H10N2O/c1-6-2-4-10-9-8(6)7(12)3-5-11-9/h2,4H,3,5H2,1H3,(H,10,11)",UDEOSBPIOUCAJP-UHFFFAOYSA-N,40152250,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QK-2163,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1176517-83-1.html,UDEOSBPIOUCAJP-UHFFFAOYSA-N,-34.30226956,5544.3804,130690.2698,115.226331,2.237,2.625284736,0.456645105,0.043115536,0.005317852,0.017872135,-0.020355169,-0.3717219,-0.2752445,0.2728,2.474,False,True
O=C1CCN(c2ccccn2)CC1,1.2509,0,3,1,33.2,25,50.691,True,False,False,False,176.219,False,False,"InChI=1S/C10H12N2O/c13-9-4-7-12(8-5-9)10-3-1-2-6-11-10/h1-3,6H,4-5,7-8H2",CSNJUQMJDHNKHI-UHFFFAOYSA-N,18348391,"['Ambeed', 'Sigma-Aldrich']",NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/cds012836?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/264608-41-5.html,CSNJUQMJDHNKHI-UHFFFAOYSA-N,-37.45153146,6793.660892,158270.8722,127.092686,2.391,3.053394884,0.519298077,0.040014078,0.004062622,0.020843392,-0.022379166,-0.3630545,-0.2508443,0.1945,2.909,False,True
O=C1CCN(c2ccc(F)cn2)CC1,1.39,0,3,1,33.2,25,50.649,True,False,False,False,194.209,False,False,"InChI=1S/C10H11FN2O/c11-8-1-2-10(12-7-8)13-5-3-9(14)4-6-13/h1-2,7H,3-6H2",AUQNHVNWPUZRQA-UHFFFAOYSA-N,61311577,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HB-4862,NONE,NONE,NONE,NONE,NONE,AUQNHVNWPUZRQA-UHFFFAOYSA-N,-41.68016002,6951.841065,162141.0843,127.385771,1.843,3.103518567,0.513931863,0.050443975,0.002606337,0.015344486,-0.022804933,-0.3722698,-0.2582176,0.1944,1.886,False,True
O=c1ccn(Cc2ccccc2)cc1,1.8966,0,2,2,22.0,25,56.246,True,False,False,False,185.226,False,False,"InChI=1S/C12H11NO/c14-12-6-8-13(9-7-12)10-11-4-2-1-3-5-11/h1-9H,10H2",BZBBXVLXVOZFRH-UHFFFAOYSA-N,12237889,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QE-7225,NONE,NONE,NONE,NONE,NONE,BZBBXVLXVOZFRH-UHFFFAOYSA-N,-38.27304925,7948.68391,193609.3256,141.999177,7.128,3.195529071,0.642103476,0.03822067,0.003426619,0.019445364,-0.023986351,-0.3657273,-0.2482938,0.1909,7.215,False,True
COc1ccc2c(n1)NCCC2=O,1.0885,1,4,2,51.22,23,48.2262,True,False,False,False,178.191,False,False,"InChI=1S/C9H10N2O2/c1-13-8-3-2-6-7(12)4-5-10-9(6)11-8/h2-3H,4-5H2,1H3,(H,10,11)",WCMJRFNURGOUQZ-UHFFFAOYSA-N,12916360,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/82070-49-3.html,WCMJRFNURGOUQZ-UHFFFAOYSA-N,-38.37576421,6107.90778,142806.7366,120.191701,4.477,2.864647707,0.453738207,0.058656177,0.003112362,0.014736347,-0.020475595,-0.3752482,-0.2699743,0.2178,5.112,False,True
Cc1cc(=O)c(C(=O)O)cn1C,0.39192,1,4,3,59.3,21,43.3793,True,False,False,False,167.164,False,False,"InChI=1S/C8H9NO3/c1-5-3-7(10)6(8(11)12)4-9(5)2/h3-4H,1-2H3,(H,11,12)",WKIVLYSBCFMIPY-UHFFFAOYSA-N,14998713,"['Sigma-Aldrich', 'Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QY-3289,https://www.sigmaaldrich.com/catalog/product/aldrich/t139262,NONE,NONE,NONE,https://www.ambeed.com/products/33821-59-9.html,WKIVLYSBCFMIPY-UHFFFAOYSA-N,-36.85163811,5029.520456,117328.2247,108.842548,9.576,2.634301427,0.433746278,0.086776844,0.00219655,0.006567106,-0.01806594,-0.3690027,-0.2721939,0.2383,10.182,False,True
Cc1cc(=O)cc(C(=O)O)n1C,0.39192,1,4,3,59.3,21,43.3793,True,False,False,False,167.164,False,False,"InChI=1S/C8H9NO3/c1-5-3-6(10)4-7(8(11)12)9(5)2/h3-4H,1-2H3,(H,11,12)",MEAFNJVXTJKASJ-UHFFFAOYSA-N,71300012,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QY-4497,NONE,NONE,NONE,NONE,NONE,MEAFNJVXTJKASJ-UHFFFAOYSA-N,-36.85065691,5019.924426,117255.6763,108.717384,5.159,2.235190241,0.428585938,0.084749062,0.000802311,0.006456356,-0.018427612,-0.3760916,-0.2939499,0.358,5.648,False,True
CCn1ccc(=O)c(O)c1C,0.88222,1,3,4,42.23,22,42.7778,True,False,False,False,153.181,False,False,"InChI=1S/C8H11NO2/c1-3-9-5-4-7(10)8(11)6(9)2/h4-5,11H,3H2,1-2H3",LCWFIBYPSAWVLI-UHFFFAOYSA-N,94413,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-2529,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/30652-12-1.html,LCWFIBYPSAWVLI-UHFFFAOYSA-N,-33.78810899,4869.040864,111354.5614,107.038634,8.79,3.252902914,0.422374063,0.058884883,0.007522696,0.008683917,-0.018431432,-0.3563469,-0.2368049,0.1443,9.287,False,True
COC(=O)c1cn(C)c(C)cc1=O,0.48032,0,4,4,48.3,24,47.7595,True,False,False,False,181.191,False,False,"InChI=1S/C9H11NO3/c1-6-4-8(11)7(5-10(6)2)9(12)13-3/h4-5H,1-3H3",LSAWJSRWNFCMNB-UHFFFAOYSA-N,99973138,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QY-2052,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1820620-45-8.html,LSAWJSRWNFCMNB-UHFFFAOYSA-N,-40.01099478,6216.053079,143169.8432,120.727628,9.74,2.729190356,0.47525195,0.082004256,0.002612352,0.008408353,-0.020298758,-0.3672108,-0.2669149,0.2226,10.138,False,True
Cc1ccc2c(n1)NCCC2=O,1.38832,1,3,1,41.99,22,46.4112,True,False,False,False,162.192,False,False,"InChI=1S/C9H10N2O/c1-6-2-3-7-8(12)4-5-10-9(7)11-6/h2-3H,4-5H2,1H3,(H,10,11)",JRMULBRHYILQJJ-UHFFFAOYSA-N,12208205,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QC-0765,NONE,NONE,NONE,NONE,NONE,JRMULBRHYILQJJ-UHFFFAOYSA-N,-34.30362054,5542.06115,130670.8974,115.19857,3.263,2.665569842,0.467664998,0.044364747,0.003600036,0.0179773,-0.019765656,-0.3727538,-0.274796,0.2661,3.891,False,True
Cc1cc(=O)c(C(=O)O)c(C)[nH]1,0.68994,2,3,3,70.16,21,43.496,True,False,False,False,167.164,False,False,"InChI=1S/C8H9NO3/c1-4-3-6(10)7(8(11)12)5(2)9-4/h3H,1-2H3,(H,9,10)(H,11,12)",SXBRRFLLEOHXIO-UHFFFAOYSA-N,304687,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?HB-7023,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/33259-21-1.html,SXBRRFLLEOHXIO-UHFFFAOYSA-N,-36.8566086,5012.423342,117211.3117,108.579813,7.333,2.929475892,0.434057932,0.091170664,0.001398363,0.006169155,-0.01829371,-0.37089,-0.2632338,0.1856,7.627,False,True
Cc1c[nH]c(CCl)c(C)c1=O,1.73054,1,1,3,32.86,21,46.0937,True,False,False,False,171.627,False,False,"InChI=1S/C8H10ClNO/c1-5-4-10-7(3-9)6(2)8(5)11/h4H,3H2,1-2H3,(H,10,11)",ZYOPGXVIDGBHLM-UHFFFAOYSA-N,21882860,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?HG-3121,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/220771-03-9.html,ZYOPGXVIDGBHLM-UHFFFAOYSA-N,-33.77226821,5503.15186,140842.3806,114.487034,5.278,3.144058045,0.419423611,0.044844994,0.004409896,0.011612748,-0.019136075,-0.3687585,-0.2532165,0.1593,5.216,False,True
