SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE
Cc1cc(C)c(S(=O)(=O)Cl)cn1,1.6259400000000002,0,3,3,47.03,20,46.74980000000002,True,False,False,False,205.66600000000005,True
CN(C)C(=O)c1ccc[n+]([O-])c1S(=O)(=O)Cl,-0.0506999999999995,0,4,4,81.38999999999999,25,56.45830000000003,True,False,False,False,264.6899999999998,True
Cc1cc(C)c2cccnc2c1S(=O)(=O)Cl,2.779140000000001,0,3,3,47.03,26,64.25580000000004,True,False,False,False,255.72600000000008,True
COc1ncc(C)cc1S(=O)(=O)Cl,1.32612,0,4,4,56.26,21,48.56480000000002,True,False,False,False,221.66500000000005,True
O=S(=O)(Cl)CCOc1cncc(Cl)c1,1.6824,0,4,4,56.260000000000005,21,54.38180000000002,True,False,False,False,256.11,True
O=S(=O)(Cl)c1cccnc1OCC(F)F,1.653,0,4,4,56.260000000000005,21,48.77480000000001,True,False,False,False,257.645,True
O=S(=O)(Cl)c1cnn(-c2cccnc2)c1,1.1948,0,5,2,64.85,21,54.39780000000001,True,False,False,False,243.67500000000004,True
Cc1ccn2nc(S(=O)(=O)Cl)nc2c1,0.96522,0,5,2,64.33000000000001,20,50.76280000000002,True,False,False,False,231.66400000000004,True
O=S(=O)(Cl)Cc1ccc(C(F)(F)F)nc1,2.1690000000000005,0,3,2,47.03,20,47.7158,True,False,False,False,259.6359999999999,True
COc1ccc2cc(S(=O)(=O)Cl)ccc2n1,2.1709000000000005,0,4,3,56.260000000000005,24,61.333800000000025,True,False,False,False,257.698,True
O=S(=O)(Cl)c1cc(Cl)cc2cccnc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
COC(=O)c1cc(S(=O)(=O)Cl)c2ncccc2c1,1.9489,0,5,3,73.33000000000001,26,66.12130000000002,True,False,False,False,285.70799999999986,True
O=S(=O)(Cl)c1ccc(Cl)c2ncccc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
O=S(=O)(Cl)c1cccc2c(Cl)nccc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
O=S(=O)(Cl)CCc1cccnc1,1.1927,0,3,3,47.03,20,47.58080000000002,True,False,False,False,205.66600000000005,True
CN(C)c1ncccc1S(=O)(=O)Cl,1.0751,0,4,4,50.27,22,51.60280000000002,True,False,False,False,220.68100000000007,True
O=S(=O)(Cl)c1cccc2cncc(F)c12,2.3014,0,3,1,47.03,20,54.7398,True,False,False,False,245.662,True
Cc1cc(C)c(S(=O)(=O)Cl)c(C)n1,1.93436,0,3,4,47.03,23,51.486800000000024,True,False,False,False,219.69300000000007,True
CCOC(=O)c1cccnc1S(=O)(=O)Cl,1.1858000000000002,0,5,4,73.33,23,53.23230000000002,True,False,False,False,249.67500000000004,True
O=C(c1cccnc1S(=O)(=O)Cl)N1CCOCC1,0.4814999999999999,0,5,2,76.57,29,63.99830000000003,True,False,False,False,290.7279999999998,True
O=S(=O)(Cl)CCOCCOc1cccnc1,1.0456,0,5,7,65.49000000000001,28,60.19080000000003,True,False,False,False,265.7179999999998,True
Cc1cnc2c(S(=O)(=O)Cl)cccc2c1,2.47072,0,3,2,47.03,23,59.51880000000002,True,False,False,False,241.69900000000004,True
CCOC(=O)c1ccncc1S(=O)(=O)Cl,1.1858,0,5,4,73.33,23,53.23230000000002,True,False,False,False,249.67500000000007,True
O=S(=O)(Cl)c1cccc2c(Cl)nc(Cl)cc12,3.469100000000001,0,3,1,47.03,20,64.80180000000001,True,False,False,False,296.56199999999995,True
O=S(=O)(Cl)c1ccc(-c2ccccn2)s1,2.7376000000000005,0,4,2,47.03,21,60.58880000000002,True,False,False,False,259.7389999999999,True
O=S(=O)(Cl)c1ccc2c(Cl)nccc2c1,2.8157000000000005,0,3,1,47.03,20,59.791800000000016,True,False,False,False,262.1169999999999,True
CCOc1ccc(S(=O)(=O)Cl)cn1,1.4078,0,4,4,56.260000000000005,21,48.44480000000002,True,False,False,False,221.66500000000005,True
O=S(=O)(Cl)c1cnc2c(c1)COCC2,1.0818,0,4,1,56.260000000000005,22,50.63580000000002,True,False,False,False,233.67600000000004,True
O=S(=O)(Cl)c1cnc2c(Cl)cccc2c1,2.8157000000000005,0,3,1,47.03,20,59.791800000000016,True,False,False,False,262.1169999999999,True
CCc1sc2ncccc2c1S(=O)(=O)Cl,2.786200000000002,0,4,3,47.03,23,62.03680000000003,True,False,False,False,261.7549999999999,True
O=S(=O)(Cl)c1cccnc1OCCO,0.3802,1,5,5,76.49000000000001,22,49.85660000000002,True,False,False,False,237.66400000000004,True
CN(C)C(=O)c1cccnc1S(=O)(=O)Cl,0.7109000000000001,0,4,4,67.34,24,55.29330000000003,True,False,False,False,248.6910000000001,True
CCc1ccc(CS(=O)(=O)Cl)nc1,1.7126,0,3,4,47.03,23,52.09180000000002,True,False,False,False,219.69300000000007,True
O=C(O)c1cc(S(=O)(=O)Cl)c2ncccc2c1,1.8605,1,5,2,84.33,23,61.74110000000002,True,False,False,False,271.68099999999987,True
O=C1COc2cc(S(=O)(=O)Cl)cnc2N1,0.3399999999999998,1,5,1,85.36000000000001,20,51.40050000000001,True,False,False,False,248.64700000000005,True
Cc1cc(S(=O)(=O)Cl)c2cccnc2c1C,2.779140000000001,0,3,3,47.03,26,64.25580000000002,True,False,False,False,255.72600000000008,True
CC(C)c1nc(Cl)c(Cl)cc1S(=O)(=O)Cl,3.439300000000002,0,3,4,47.03,23,61.38480000000003,True,False,False,False,288.58299999999986,True
COc1ccc2nc(Cl)ccc2c1S(=O)(=O)Cl,2.824300000000001,0,4,3,56.26,24,66.34380000000003,True,False,False,False,292.14299999999986,True
O=S(=O)(Cl)c1ccc2cccnc2c1,2.1623,0,3,1,47.03,20,54.78180000000001,True,False,False,False,227.67200000000005,True
CCOc1ncccc1S(=O)(=O)Cl,1.4078,0,4,4,56.26,21,48.44480000000002,True,False,False,False,221.66500000000005,True
Cc1ccnc(-n2cc(S(=O)(=O)Cl)cn2)c1,1.50322,0,5,3,64.85,24,59.13480000000003,True,False,False,False,257.702,True
O=c1c2ccccc2ccn1CCS(=O)(=O)F,1.3008,0,4,3,56.14,27,63.10280000000002,True,False,False,False,255.27000000000004,True
CC(C)Oc1cncc(S(=O)(=O)Cl)c1,1.7963,0,4,5,56.26,24,53.03980000000003,True,False,False,False,235.6920000000001,True
Cn1c(=O)[nH]c(=O)c2cc(S(=O)(=O)Cl)cnc21,-0.4507000000000005,1,6,2,101.89,23,60.64350000000002,True,False,False,False,275.6729999999999,True
COC(=O)c1cnc(Cl)c(S(=O)(=O)Cl)c1,1.4491,0,5,3,73.33,20,53.62530000000002,True,False,False,False,270.0929999999999,True
CC(C)Oc1ccc(S(=O)(=O)Cl)c2cccnc12,2.9495000000000013,0,4,5,56.260000000000005,30,70.54580000000003,True,False,False,False,285.7519999999998,True
O=S(=O)(Cl)c1ccc2ccnc(Cl)c2c1,2.8157000000000005,0,3,1,47.03,20,59.791800000000016,True,False,False,False,262.1169999999999,True
O=S(=O)(Cl)c1ccc2c(Cl)cnc(Cl)c2c1,3.469100000000001,0,3,1,47.03,20,64.80180000000001,True,False,False,False,296.56199999999995,True
O=S(=O)(Cl)C(c1ccccc1)c1ccccn1,2.739600000000001,0,3,3,47.03,27,67.29480000000002,True,False,False,False,267.73699999999974,True
COc1ccc(CS(=O)(=O)Cl)cn1,1.1588,0,4,4,56.260000000000005,21,49.26580000000002,True,False,False,False,221.66500000000005,True
O=S(=O)(Cl)c1cccnc1OCc1ccccc1,2.5881000000000007,0,4,4,56.260000000000005,28,68.04980000000003,True,False,False,False,283.7359999999998,True
O=S(=O)(Cl)c1cccnc1N1CCCC1,1.6093,0,4,2,50.27,26,58.72280000000003,True,False,False,False,246.71900000000008,True
O=S(=O)(Cl)c1ccc2c(Cl)cnc(O)c2c1,2.5213,1,4,2,67.26,21,61.45660000000002,True,False,False,False,278.11599999999993,True
O=S(=O)(Cl)c1ccc(Oc2ccccc2)nc1,2.8014,0,4,3,56.260000000000005,25,63.79180000000002,True,False,False,False,269.70899999999983,True
CCOC(=O)c1cccnc1S(=O)(=O)F,0.9165,0,5,4,73.33,23,48.48730000000002,True,False,False,False,233.22000000000003,True
O=C1c2cccnc2C(=O)N1CCS(=O)(=O)Cl,0.2461999999999999,0,5,3,84.41,24,59.243800000000014,True,False,False,False,274.6849999999999,True
O=S(=O)(Cl)c1cccnc1OCC(F)(F)F,1.9502,0,4,3,56.260000000000005,21,48.82580000000001,True,False,False,False,275.6349999999999,True
O=S(=O)(Cl)c1ccc(Cl)c2cnccc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
COC(=O)c1cccnc1S(=O)(=O)Cl,0.7957,0,5,3,73.33,20,48.61530000000002,True,False,False,False,235.64800000000005,True
O=S(=O)(Cl)c1cc2ccc(Cl)nc2cc1F,2.9548000000000005,0,3,1,47.03,20,59.7498,True,False,False,False,280.1069999999999,True
CC(C)Cc1sc2ncccc2c1S(=O)(=O)Cl,3.4223000000000026,0,4,5,47.03,29,71.20080000000003,True,False,False,False,289.80899999999974,True
O=c1c2cnccc2ncn1CCCS(=O)(=O)Cl,0.7502,0,6,4,81.91999999999999,28,68.05480000000003,True,False,False,False,287.72799999999984,True
Cc1ccc(S(=O)(=O)Cl)c(C)n1,1.6259400000000002,0,3,3,47.03,20,46.749800000000015,True,False,False,False,205.66600000000005,True
O=[N+]([O-])c1c(S(=O)(=O)Cl)ccc2ncccc12,2.0705,0,5,2,90.17,22,61.436200000000014,True,False,False,False,272.66899999999987,True
CC(C)Oc1ccc(S(=O)(=O)Cl)cn1,1.7963,0,4,5,56.260000000000005,24,53.03980000000003,True,False,False,False,235.6920000000001,True
CCS(=O)(=O)c1ncccc1S(=O)(=O)Cl,0.8027000000000002,0,5,4,81.16999999999999,23,55.00260000000003,True,False,False,False,269.7309999999998,True
O=S(=O)(Cl)c1nccc2ccccc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
CCC(C)Oc1ccc(S(=O)(=O)Cl)c2cccnc12,3.3396000000000017,0,4,6,56.260000000000005,33,75.16280000000003,True,False,False,False,299.7789999999997,True
O=S(=O)(Cl)c1cnc2ccccc2c1,2.1623,0,3,1,47.03,20,54.78180000000001,True,False,False,False,227.67200000000005,True
O=S(=O)(Cl)c1ccc(-c2ccccc2)nc1,2.676100000000001,0,3,2,47.03,24,62.711800000000025,True,False,False,False,253.71000000000004,True
O=S(=O)(Cl)C1CCc2cccnc21,1.6375,0,3,1,47.03,21,50.07180000000002,True,False,False,False,217.67700000000005,True
O=S(=O)(Cl)c1cnc2ccccc2c1Cl,2.8157000000000014,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
CCOC(=O)c1ccc(S(=O)(=O)Cl)nc1,1.1858000000000002,0,5,4,73.33000000000001,23,53.23230000000002,True,False,False,False,249.67500000000004,True
Cn1ncc2cc(S(=O)(=O)Cl)cnc21,0.8957999999999999,0,5,2,64.85,20,51.547800000000024,True,False,False,False,231.66400000000004,True
O=S(=O)(Cl)C(c1ccccc1)c1ccncc1,2.739600000000001,0,3,3,47.03,27,67.29480000000002,True,False,False,False,267.7369999999998,True
O=S(=O)(Cl)CCCCCOc1cccnc1,2.1993,0,4,7,56.260000000000005,30,63.222800000000035,True,False,False,False,263.74599999999987,True
O=S(=O)(Cl)c1cccc2cc(F)cnc12,2.3014,0,3,1,47.03,20,54.7398,True,False,False,False,245.662,True
Cc1cc(S(=O)(=O)Cl)c2ncccc2c1,2.47072,0,3,2,47.03,23,59.51880000000002,True,False,False,False,241.69900000000004,True
O=S(=O)(Cl)c1ccc2ccccc2n1,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
O=S(=O)(Cl)c1cnn(-c2ccccn2)c1,1.1948,0,5,2,64.85,21,54.39780000000001,True,False,False,False,243.67500000000004,True
O=S(=O)(Cl)c1ccc(N2CCOCC2)nc1,0.8457,0,5,2,59.5,27,60.30780000000003,True,False,False,False,262.7179999999999,True
O=C(c1cccc(S(=O)(=O)Cl)c1)c1ccccn1,2.2401,0,4,3,64.1,26,67.15030000000002,True,False,False,False,281.7199999999998,True
CC(COc1cncc(Cl)c1)CS(=O)(=O)Cl,2.3185,0,4,6,56.26,27,63.545800000000035,True,False,False,False,284.1639999999998,True
CN(C)c1ccc(S(=O)(=O)Cl)cn1,1.0751,0,4,4,50.27,22,51.60280000000002,True,False,False,False,220.68100000000007,True
O=C(O)c1c[nH]c2ccc(S(=O)(=O)Cl)cc2c1=O,1.1538,2,5,2,104.29999999999998,24,64.5668,True,False,False,False,287.6799999999999,True
Cc1ccc2ncccc2c1S(=O)(=O)Cl,2.470720000000001,0,3,2,47.03,23,59.51880000000003,True,False,False,False,241.69900000000007,True
CCCCOc1ncccc1S(=O)(=O)Cl,2.1879999999999997,0,4,6,56.26,27,57.67880000000004,True,False,False,False,249.7190000000001,True
COC(=O)c1ccncc1S(=O)(=O)Cl,0.7957,0,5,3,73.33,20,48.61530000000002,True,False,False,False,235.64800000000005,True
O=S(=O)(Cl)c1cccc2ncccc12,2.1623,0,3,1,47.03,20,54.78180000000002,True,False,False,False,227.67200000000005,True
O=S(=O)(Cl)c1cccc2ccc(Cl)nc12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
Cc1nn(-c2ccccn2)c(C)c1S(=O)(=O)Cl,1.81164,0,5,4,64.85,27,63.87180000000003,True,False,False,False,271.7289999999998,True
O=S(=O)(Cl)CCOc1cccnc1,1.029,0,4,4,56.260000000000005,21,49.37180000000002,True,False,False,False,221.66500000000005,True
COc1ccc(S(=O)(=O)Cl)c2cccnc12,2.1708999999999996,0,4,3,56.260000000000005,24,61.333800000000025,True,False,False,False,257.698,True
COC(=O)c1nccc2c(S(=O)(=O)Cl)cccc12,1.9489,0,5,3,73.33,26,66.12130000000003,True,False,False,False,285.70799999999986,True
Cc1cc(S(=O)(=O)Cl)cc(C)n1,1.6259400000000002,0,3,3,47.03,20,46.749800000000015,True,False,False,False,205.66600000000005,True
O=C(Nc1ccc(S(=O)(=O)Cl)cc1)c1ccncc1,2.2614,1,4,3,76.13,28,71.67100000000002,True,False,False,False,296.73499999999984,True
O=S(=O)(Cl)c1cc(F)cc2cccnc12,2.3014,0,3,1,47.03,20,54.73980000000002,True,False,False,False,245.662,True
CS(=O)(=O)c1ncccc1S(=O)(=O)Cl,0.4126000000000001,0,5,3,81.16999999999999,20,50.385600000000025,True,False,False,False,255.7040000000001,True
CCOc1nccc(S(=O)(=O)Cl)c1F,1.5469,0,4,4,56.26,21,48.40280000000001,True,False,False,False,239.65500000000003,True
O=S(=O)(Cl)c1ccc2cnccc2c1,2.1623,0,3,1,47.03,20,54.781800000000025,True,False,False,False,227.67200000000005,True
